368	96	0		
396	101	0
427	107	0
450	112	0
480	118	0
506	118	0
539	128	0
569	129	0
602	135	0
636	139	0
668	146	0
711	155	1
756	162	1
783	177	1
803	194	1
819	215	2
835	240	2
840	263	2
837	295	3
824	322	3
813	354	4
798	385	5
785	414	6
776	439	7
761	460	7
737	470	8
700	480	8
675	481	8
644	484	9
622	483	9
593	481	9
563	482	9
537	483	8
520	475	8
502	457	7
496	439	6
496	427	7
496	413	8
508	397	8
517	393	8
536	384	8
560	380	8
586	381	8
608	384	8
633	385	8
659	388	8
681	388	8
706	379	8
717	352	8
720	327	8
713	305	8
694	293	9
667	291	9
621	282	9
583	274	9
552	269	9
523	268	9
496	267	9
476	273	9
455	285	9
442	310	9
432	337	10
416	360	10
404	379	10
384	405	10
367	433	10
340	449 10
311	455	10
284	455	10
245	455	9
200	449	9
173	438	9
130	432	8
92	423	8
57	415	7
37	413	6
20	410	5
7	292	4
30	301	3
56	306	2
86	310	2
108	313	1
127	320	1
153	324	1
176	327	1
197	330	1
223	335	0
248	335	0
268	332	0
288	318	0
298	300	0
298	279	0
290	264	1
272	244	1
243	225	1
217	211	1
195	192	2
184	168	2
180	143	2
170	117	3
170	102	3
176	91	4
188	82	4
208	77	4
229	75	3
248	75	3
265	77	2
279	79	1
290	81	1
304	84	0
320	85	0
338	86	0
361	89	0
380	95	0
